,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2014-06-30,2,2,2,120.37515207510482,0.7402879825948977,0.18080035627659777,0.5,0.99,0.99,-9.0,-1.0,-1.0
2014-07-31,2,2,114,123.33307641565158,0.3514354646976057,0.7871716655170704,0.6,0.5,0.9,-6.0,-9.0,-0.05
2014-08-31,2,2,2,122.65763886609452,0.7389666546675383,0.1826902044931774,0.5,0.99,0.99,-6.0,-1.0,-1.0
2014-09-30,3,2,109,94.75237073027219,0.27687618586436735,0.7767808760280657,0.5,0.5,0.7,-6.0,-9.0,-0.05
2014-10-31,2,2,111,102.14552626316784,0.273521536267172,0.8300003619703024,0.5,0.5,0.9,-8.0,-10.0,-0.05
2014-11-30,2,2,104,143.19686515407355,0.3983925090977752,0.856352855950018,0.5,0.7,0.9,-8.0,-8.0,-0.05
2014-12-31,2,2,113,111.78547467095562,0.3100169264688123,0.8258438590851112,0.5,0.6,0.8,-5.0,-6.0,-0.05
2015-01-31,2,2,123,127.49989955680567,0.3197932172614766,0.7740246903703873,0.5,0.99,0.9,-15.0,-0.8,-0.05
2015-02-28,2,2,130,78.88144118285734,0.24182992482237903,0.8005211233834398,0.5,0.7,0.9,-9.0,-10.0,-0.05
2015-03-31,2,2,10,97.11529254149505,0.4594197957187391,0.6255260847888632,0.8,0.99,0.99,-6.0,-1.0,-0.19999999999999996
2015-04-30,2,2,101,114.55760915261602,0.3525762247022171,0.8161113591303787,0.5,0.6,0.5,-7.0,-8.0,-0.05
2015-05-31,3,3,39,98.53265143938577,0.45326781822372747,0.7771467387959959,0.7,0.99,0.99,-6.0,-0.8,-0.05
2015-06-30,2,2,8,89.85753144351796,0.31554518602795073,0.741704027198872,0.9,0.7,0.99,-4.0,-5.0,-0.19999999999999996
2015-07-31,2,2,8,173.36392506466547,0.422975836901327,0.46073976292385777,0.5,0.5,0.99,-9.0,-10.0,-0.19999999999999996
2015-08-31,2,2,7,158.82510984915226,0.39687299243509816,0.8239279504394516,0.7,0.7,0.99,-15.0,-10.0,-0.19999999999999996
2015-09-30,2,2,115,151.42414652626138,0.4795994550185695,0.768249862353473,0.7,0.99,0.9,-9.0,-0.6000000000000001,-0.05
2015-10-31,2,2,128,84.0712843939709,0.4950342684201046,0.7526170779509355,0.5,0.99,0.9,-10.0,-0.6000000000000001,-0.05
2015-11-30,2,2,2,92.33672704601825,0.7419035243771136,0.178766065678326,0.5,0.99,0.99,-9.0,-0.8,-0.8
2015-12-31,2,3,23,88.02841141342601,0.3281668721830957,0.7309260582186671,0.7,0.99,0.99,-9.0,-0.6000000000000001,-0.1
2016-01-31,2,2,26,121.38883126282474,0.27238592459489547,0.7292618046082058,0.5,0.5,0.99,-9.0,-7.0,-0.1
2016-02-29,2,2,112,106.04535916319317,0.4090908311166463,0.7587241215305857,0.6,0.5,0.5,-20.0,-7.0,-0.05
2016-03-31,2,2,106,98.94692472217052,0.5441909612205637,0.7645067023174268,0.5,0.99,0.9,-15.0,-1.0,-0.05
2016-04-30,2,2,41,125.40721507425546,0.3939431942979635,0.72420967432065,0.5,0.6,0.99,-9.0,-7.0,-0.05
2016-05-31,2,3,32,122.84300380071109,0.6519435295387617,0.7376738010519265,0.8,0.99,0.99,-5.0,-0.8,-0.05
2016-06-30,2,2,106,128.8262051729027,0.4751395749967352,0.7506820066848804,0.5,0.99,0.9,-10.0,-0.8,-0.05
2016-07-31,2,2,129,66.60514007100367,0.22375517933856232,0.7369252606944208,0.5,0.7,0.9,-15.0,-5.0,-0.05
2016-08-31,2,2,121,66.82601446283388,0.2321285265663622,0.7963642525746676,0.5,0.5,0.5,-10.0,-10.0,-0.05
2016-09-30,2,4,120,87.66242817359796,0.36829594313092384,0.753209297556058,0.5,0.99,0.9,-9.0,-0.4,-0.05
